mass_A
t,x,y
0.000000000E0,-1.857050830E0,1.278438435E0
3.332222222E-2,-1.897094001E0,1.278438435E0
6.664444444E-2,-2.657914251E0,1.308470813E0
9.996666667E-2,-5.521000982E0,1.418589533E0
1.332888889E-1,-9.074832413E0,1.388557155E0
1.666111111E-1,-1.180777884E1,1.308470813E0
1.999333333E-1,-1.427043386E1,1.338503191E0
2.332555556E-1,-1.691328315E1,1.348513984E0
2.665777778E-1,-1.930586262E1,1.228384471E0
2.999000000E-1,-2.150823703E1,1.398567948E0
3.332222222E-1,-2.389080570E1,1.218373678E0
3.665444444E-1,-2.596303981E1,1.298460020E0
3.998666667E-1,-2.795518757E1,1.248406056E0
4.331888889E-1,-2.994733533E1,1.178330507E0
4.666333333E-1,-3.167920248E1,1.188341300E0
5.000777778E-1,-3.355122072E1,1.158308921E0
5.332222222E-1,-3.513292598E1,1.198352092E0
5.665555556E-1,-3.666457727E1,1.198352092E0
5.998888889E-1,-3.825629332E1,1.138287336E0
6.332222222E-1,-3.970785827E1,1.168319714E0
6.665555556E-1,-4.104930450E1,1.158308921E0
6.998888889E-1,-4.240076153E1,1.078222579E0
7.332222222E-1,-4.360205666E1,1.168319714E0
7.665555556E-1,-4.469323307E1,1.228384471E0
7.998888889E-1,-4.567429076E1,1.138287336E0
8.332222222E-1,-4.658527290E1,1.188341300E0
8.665555556E-1,-4.743619029E1,1.138287336E0
8.998888889E-1,-4.814695657E1,1.158308921E0
9.332222222E-1,-4.885772286E1,1.138287336E0
9.665555556E-1,-4.945837043E1,1.098244165E0
9.998888889E-1,-4.997893165E1,1.108254958E0
1.033122222E0,-5.047947129E1,1.088233372E0
1.066355556E0,-5.089992458E1,1.058200994E0
1.099788889E0,-5.129034550E1,1.058200994E0
1.133111111E0,-5.166074483E1,1.058200994E0
1.166433333E0,-5.200111179E1,1.058200994E0
1.199755556E0,-5.214126289E1,1.058200994E0
1.233077778E0,-5.221133844E1,1.038179408E0
1.266400000E0,-5.232145716E1,1.048190201E0
1.299722222E0,-5.239153271E1,1.058200994E0
