mass_A
t,x,y
0.000000000E0,-1.733394651E0,1.235008747E0
3.332222222E-2,-2.118027377E0,1.315984057E0
6.664444444E-2,-4.547286696E0,1.457690851E0
9.996666667E-2,-7.239715775E0,1.396959368E0
1.332888889E-1,-9.547512128E0,1.417203196E0
1.666111111E-1,-1.177433317E1,1.396959368E0
1.999333333E-1,-1.392017890E1,1.396959368E0
2.332555556E-1,-1.596480550E1,1.356471713E0
2.667111111E-1,-1.807016357E1,1.356471713E0
3.001666667E-1,-1.995283955E1,1.396959368E0
3.333111111E-1,-2.177478404E1,1.396959368E0
3.666333333E-1,-2.359672853E1,1.376715540E0
3.999555556E-1,-2.517574708E1,1.417203196E0
4.332777778E-1,-2.685598478E1,1.437447023E0
4.666000000E-1,-2.833378420E1,1.437447023E0
4.999222222E-1,-2.987231510E1,1.417203196E0
5.332444444E-1,-3.128938304E1,1.457690851E0
5.665666667E-1,-3.240279356E1,1.376715540E0
5.998888889E-1,-3.357693556E1,1.396959368E0
6.332111111E-1,-3.475107757E1,1.396959368E0
6.665333333E-1,-3.590497574E1,1.336227885E0
6.998555556E-1,-3.681594799E1,1.336227885E0
7.331777778E-1,-3.784838320E1,1.336227885E0
7.665000000E-1,-3.855691717E1,1.315984057E0
7.998222222E-1,-3.932618262E1,1.315984057E0
8.331444444E-1,-3.993349745E1,1.315984057E0
8.666111111E-1,-4.052056845E1,1.255252574E0
8.998555556E-1,-4.104690797E1,1.255252574E0
9.332333333E-1,-4.149227218E1,1.275496402E0
9.666111111E-1,-4.189714873E1,1.214764919E0
9.998333333E-1,-4.220080615E1,1.194521091E0
1.033166667E0,-4.236275677E1,1.194521091E0
1.066500000E0,-4.258543887E1,1.194521091E0
