mass_A
t,x,y
0.000000000E0,-2.058565773E0,1.202634142E0
3.332222222E-2,-2.058565773E0,1.174003554E0
6.664444444E-2,-2.459394003E0,1.374417669E0
9.996666667E-2,-5.837803376E0,1.546201196E0
1.332888889E-1,-9.903346858E0,1.431678845E0
1.666111111E-1,-1.302408094E1,1.317156493E0
1.999333333E-1,-1.617344561E1,1.460309433E0
2.332555556E-1,-1.909376557E1,1.259895317E0
2.665777778E-1,-2.204271613E1,1.460309433E0
2.999000000E-1,-2.473399139E1,1.431678845E0
3.332222222E-1,-2.739663607E1,1.488940021E0
3.665444444E-1,-3.003065015E1,1.403048257E0
3.998666667E-1,-3.260740306E1,1.431678845E0
4.331888889E-1,-3.506963362E1,1.288525905E0
4.665111111E-1,-3.744597242E1,1.259895317E0
4.998333333E-1,-3.996546415E1,1.288525905E0
5.331555556E-1,-4.222728060E1,1.288525905E0
5.664777778E-1,-4.420279116E1,1.317156493E0
5.998000000E-1,-4.606377938E1,1.345787081E0
6.331222222E-1,-4.801065935E1,1.345787081E0
6.664444444E-1,-4.990027816E1,1.345787081E0
6.997666667E-1,-5.170400519E1,1.231264730E0
7.330888889E-1,-5.339320988E1,1.202634142E0
7.664111111E-1,-5.502515339E1,1.202634142E0
7.997333333E-1,-5.668572749E1,1.288525905E0
8.331666667E-1,-5.817451806E1,1.202634142E0
8.664888889E-1,-5.946289451E1,1.145372966E0
8.998111111E-1,-6.075127097E1,1.317156493E0
9.331333333E-1,-6.201101684E1,1.259895317E0
9.664555556E-1,-6.309897918E1,1.259895317E0
9.997777778E-1,-6.421557211E1,1.288525905E0
1.033100000E0,-6.524627327E1,1.345787081E0
1.066422222E0,-6.616245208E1,1.259895317E0
1.099744444E0,-6.699273913E1,1.259895317E0
1.133066667E0,-6.779439559E1,1.259895317E0
1.166388889E0,-6.836700735E1,1.202634142E0
1.199711111E0,-6.899688029E1,1.317156493E0
1.233033333E0,-6.954086146E1,1.259895317E0
1.266355556E0,-6.991305910E1,1.288525905E0
1.299677778E0,-7.019936498E1,1.231264730E0
1.333000000E0,-7.042840968E1,1.231264730E0
1.366322222E0,-7.074334615E1,1.202634142E0
