mass_A
t,x,y
0.000000000E0,3.511574259E0,4.550219724E0
3.332222222E-2,4.005138576E0,4.669273361E0
6.664444444E-2,4.597572148E0,4.818676878E0
9.996666667E-2,5.647746427E0,4.957132934E0
1.332888889E-1,8.075834594E0,5.258921196E0
1.666111111E-1,1.214731257E1,5.881264795E0
2.000666667E-1,1.773139731E1,6.827291578E0
2.334000000E-1,2.354513435E1,7.800540396E0
2.666333333E-1,2.932382975E1,8.676483881E0
2.998666667E-1,3.444782790E1,9.535370830E0
3.332888889E-1,3.898017443E1,1.027755003E1
3.667111111E-1,4.334747821E1,1.095824750E1
3.999444444E-1,4.686312819E1,1.159388445E1
4.333111111E-1,5.021451739E1,1.220073544E1
4.666777778E-1,5.330512242E1,1.284653788E1
4.999333333E-1,5.569973286E1,1.311641234E1
5.331888889E-1,5.796903398E1,1.361828500E1
5.665666667E-1,5.977590261E1,1.393493053E1
5.999444444E-1,6.125424968E1,1.419400414E1
6.333222222E-1,6.220555470E1,1.430211032E1
6.665555556E-1,6.293033526E1,1.451377752E1
6.997888889E-1,6.345659534E1,1.463204919E1
7.332111111E-1,6.352198687E1,1.463048527E1
7.665333333E-1,6.322537910E1,1.453943563E1
7.998555556E-1,6.299650875E1,1.454490936E1
8.331777778E-1,6.276451055E1,1.441960003E1
8.665000000E-1,6.243677094E1,1.439472388E1
8.998222222E-1,6.223903243E1,1.433402412E1
9.331444444E-1,6.207398968E1,1.427254240E1
9.664666667E-1,6.174703203E1,1.428036201E1
9.997888889E-1,6.145198819E1,1.425470390E1
1.033111111E0,6.131885925E1,1.415974445E1
1.066433333E0,6.095920583E1,1.416834603E1
1.099755556E0,6.062833838E1,1.401268682E1
1.133077778E0,6.036755422E1,1.405163828E1
1.166400000E0,6.007016449E1,1.392789287E1
1.199722222E0,5.994094536E1,1.399641225E1
1.233044444E0,5.966957265E1,1.395331206E1
1.266366667E0,5.942216052E1,1.390530642E1
1.299688889E0,5.917669013E1,1.386274388E1
1.333011111E0,5.895546034E1,1.381766954E1
1.366333333E0,5.880909172E1,1.380587602E1
1.399655556E0,5.863443204E1,1.376746617E1
1.432977778E0,5.845158495E1,1.373138699E1
1.466300000E0,5.834010925E1,1.372041651E1
1.499622222E0,5.816374286E1,1.368307711E1
1.532944444E0,5.806834515E1,1.366333869E1
1.566266667E0,5.791652677E1,1.363285945E1
1.599711111E0,5.785041280E1,1.362947912E1
1.633022222E0,5.777430102E1,1.361076136E1
1.666333333E0,5.762670482E1,1.359330728E1
1.699644444E0,5.753326811E1,1.357886229E1
1.732955556E0,5.736968509E1,1.354366186E1
1.766266667E0,5.726803471E1,1.352941856E1
1.799577778E0,5.708406542E1,1.349521581E1
1.832888889E0,5.689440667E1,1.346771752E1
1.866333333E0,5.677610959E1,1.343984805E1
1.899611111E0,5.657675904E1,1.340448765E1
1.932888889E0,5.636698244E1,1.336422636E1
1.966288889E0,5.624319423E1,1.335428210E1
1.999688889E0,5.602706617E1,1.331588655E1
2.032933333E0,5.581217261E1,1.327377026E1
2.066177778E0,5.571456109E1,1.326052534E1
2.099577778E0,5.551034005E1,1.322072516E1
2.132977778E0,5.529140910E1,1.317929444E1
2.166244444E0,5.506999791E1,1.314319125E1
2.199511111E0,5.494568950E1,1.311924740E1
2.232888889E0,5.472482830E1,1.308248479E1
2.266266667E0,5.447260600E1,1.304185715E1
2.299544444E0,5.427627572E1,1.300045644E1
2.332822222E0,5.414111399E1,1.298397090E1
2.366100000E0,5.391900873E1,1.294657391E1
2.399522222E0,5.371314382E1,1.290678295E1
2.432844444E0,5.349903672E1,1.286562258E1
2.466166667E0,5.327025901E1,1.281921204E1
2.499488889E0,5.314071271E1,1.280257226E1
2.532811111E0,5.291702326E1,1.276064808E1
2.566133333E0,5.268020943E1,1.271880775E1
2.599455556E0,5.244600662E1,1.268045212E1
2.632900000E0,5.222257232E1,1.264285270E1
2.666111111E0,5.205971756E1,1.261968129E1
2.699444444E0,5.182901744E1,1.258082400E1
2.732777778E0,5.161267037E1,1.253921046E1
2.766111111E0,5.138968579E1,1.250629715E1
2.799444444E0,5.123185109E1,1.247603017E1
2.832777778E0,5.101712648E1,1.244459022E1
2.866111111E0,5.080694833E1,1.240562764E1
2.899444444E0,5.066921546E1,1.238872125E1
2.932777778E0,5.047133285E1,1.235315278E1
2.966111111E0,5.026260709E1,1.232171244E1
2.999444444E0,5.013125915E1,1.230386550E1
3.032777778E0,4.997264909E1,1.226936865E1
3.066111111E0,4.988075376E1,1.225604731E1
3.099444444E0,4.971964563E1,1.222237523E1
3.132777778E0,4.961155940E1,1.221600917E1
3.166111111E0,4.945693365E1,1.217900361E1
3.199344444E0,4.932862904E1,1.216575931E1
3.232577778E0,4.914895791E1,1.213052602E1
3.266022222E0,4.903802993E1,1.211433356E1
3.299322222E0,4.885860903E1,1.208284550E1
3.332622222E0,4.873765522E1,1.206723560E1
3.365922222E0,4.856070059E1,1.203908506E1
3.399222222E0,4.846146494E1,1.201944219E1
3.432522222E0,4.829606277E1,1.199317765E1
3.465944444E0,4.819545379E1,1.197404726E1
3.499366667E0,4.802643662E1,1.194746467E1
3.532600000E0,4.791517858E1,1.193109808E1
3.565833333E0,4.774773423E1,1.190278091E1
3.599255556E0,4.763658762E1,1.188760374E1
3.632677778E0,4.746920057E1,1.185888245E1
3.665911111E0,4.737063179E1,1.184629055E1
3.699144444E0,4.720929556E1,1.181353638E1
