masa_B
t,x,y
0.000000000E0,1.140448501E-1,6.867954474E-2
3.900000000E-2,1.812058158E-1,6.725319635E-2
7.700000000E-2,2.420634385E-1,6.345040809E-2
1.160000000E-1,2.896533033E-1,6.199891206E-2
1.540000000E-1,3.347864155E-1,6.143392313E-2
1.930000000E-1,3.670773219E-1,6.018733482E-2
2.310000000E-1,4.038439077E-1,5.883491791E-2
2.700000000E-1,4.351584098E-1,5.772622078E-2
3.080000000E-1,4.665240812E-1,5.786213206E-2
3.460000000E-1,4.910863012E-1,5.713007016E-2
3.850000000E-1,5.153794000E-1,5.634149939E-2
4.230000000E-1,5.381358021E-1,5.571836137E-2
4.620000000E-1,5.515479435E-1,5.518238059E-2
5.000000000E-1,5.687887954E-1,5.487383091E-2
5.390000000E-1,5.848195676E-1,5.471644080E-2
5.770000000E-1,5.983739609E-1,5.446331356E-2
6.160000000E-1,6.340101888E-1,5.369792874E-2
6.540000000E-1,6.444642404E-1,5.330362177E-2
6.930000000E-1,6.506476817E-1,5.360333087E-2
7.310000000E-1,6.466212455E-1,5.333794647E-2
7.700000000E-1,6.430969196E-1,5.305360415E-2
8.080000000E-1,6.380620222E-1,5.336539234E-2
8.460000000E-1,6.317109059E-1,5.364997386E-2
8.850000000E-1,6.242021089E-1,5.377837494E-2
9.230000000E-1,6.039359887E-1,5.427432832E-2
9.620000000E-1,5.915331017E-1,5.445590169E-2
1.000000000E0,5.779175928E-1,5.469344724E-2
1.039000000E0,5.459083650E-1,5.536200251E-2
1.077000000E0,5.261763814E-1,5.505136269E-2
1.116000000E0,5.076784669E-1,5.595043656E-2
1.154000000E0,4.844966726E-1,5.634389107E-2
1.193000000E0,4.627039136E-1,5.737926012E-2
1.231000000E0,4.323455141E-1,5.707218265E-2
1.269000000E0,4.083320962E-1,5.776569817E-2
1.308000000E0,3.763637921E-1,5.899076091E-2
1.346000000E0,3.479002781E-1,5.976359697E-2
1.385000000E0,3.090339317E-1,5.984682943E-2
1.423000000E0,2.816152388E-1,6.123737982E-2
1.462000000E0,2.343007807E-1,6.241649316E-2
1.500000000E0,1.996478735E-1,6.542372310E-2
1.539000000E0,1.633369745E-1,6.452334221E-2
1.577000000E0,1.153941446E-1,6.419055054E-2
