masa_A
t,x,y
0.000000000E0,2.432291093E-2,4.517112030E-2
3.700000000E-2,5.509883904E-2,5.079682758E-2
7.400000000E-2,1.252547182E-1,5.741530675E-2
1.110000000E-1,2.035182343E-1,4.302011457E-2
1.480000000E-1,2.792998207E-1,5.493337706E-2
1.850000000E-1,3.372115134E-1,5.427152915E-2
2.220000000E-1,3.883392650E-1,4.616389217E-2
2.590000000E-1,4.257336722E-1,5.377514321E-2
2.960000000E-1,4.768614238E-1,4.566750623E-2
3.330000000E-1,5.175650706E-1,5.427152915E-2
3.700000000E-1,5.645562727E-1,5.394060519E-2
4.070000000E-1,6.006269841E-1,5.394060519E-2
4.440000000E-1,6.246189711E-1,5.212052342E-2
4.810000000E-1,6.671426997E-1,4.864582186E-2
5.180000000E-1,6.954366982E-1,4.450927238E-2
5.550000000E-1,7.270399362E-1,4.136549478E-2
5.920000000E-1,7.381258888E-1,4.649481613E-2
6.290000000E-1,7.045371070E-1,5.625707290E-2
6.660000000E-1,6.911346867E-1,4.682574009E-2
7.030000000E-1,6.671426997E-1,4.864582186E-2
7.400000000E-1,6.386832393E-1,4.732212602E-2
7.770000000E-1,6.113820128E-1,4.814943592E-2
8.140000000E-1,5.905338034E-1,4.550204425E-2
8.510000000E-1,5.260036316E-1,4.417834842E-2
8.880000000E-1,4.912566160E-1,5.178959946E-2
9.260000000E-1,4.047200009E-1,4.566750623E-2
9.630000000E-1,3.423408348E-1,4.318557655E-2
1.000000000E0,2.900548494E-1,4.914220779E-2
1.037000000E0,2.341287004E-1,4.318557655E-2
1.074000000E0,1.828354869E-1,4.583296821E-2
1.111000000E0,1.171470812E-1,4.235826665E-2
1.148000000E0,4.302011457E-2,4.897674581E-2
