masa_A
t,x,y
3.330000000E-2,-1.614122885E-3,-2.525838375E-3
6.662222222E-2,1.085476677E-2,-1.511727006E-3
9.995555556E-2,3.989101526E-2,-1.033934252E-3
1.332666667E-1,9.899502373E-2,-1.441995816E-4
1.665888889E-1,1.683019156E-1,5.232348016E-4
1.999222222E-1,2.398833673E-1,2.203758004E-3
2.332444444E-1,2.928533172E-1,2.912068542E-3
2.665777778E-1,3.349566352E-1,2.474761390E-3
2.998888889E-1,3.765391854E-1,3.243052717E-3
3.332111111E-1,4.070247109E-1,1.577915109E-3
3.665333333E-1,4.389678885E-1,1.425307555E-3
3.998555556E-1,4.590028986E-1,2.538279268E-3
4.331777778E-1,4.761226044E-1,6.261908772E-4
4.665000000E-1,4.890869219E-1,6.597635519E-4
4.998222222E-1,4.969138795E-1,1.010336541E-3
5.331444444E-1,4.983483821E-1,8.308809915E-4
5.664777778E-1,4.952053940E-1,1.071702280E-3
5.997888889E-1,4.835116581E-1,6.699127133E-4
6.331111111E-1,4.680031252E-1,6.619715703E-4
6.664333333E-1,4.493279225E-1,1.152720187E-3
6.997555556E-1,4.237462402E-1,1.645814254E-3
7.330777778E-1,4.007563356E-1,1.221046070E-3
7.664000000E-1,3.671475446E-1,1.219250510E-3
7.997222222E-1,3.287541929E-1,1.833401139E-3
8.330444444E-1,2.831206476E-1,3.285037468E-4
8.663666667E-1,2.298489177E-1,3.368777712E-4
8.997000000E-1,1.848524600E-1,1.672687898E-4
9.330222222E-1,1.239669908E-1,3.658484944E-4
9.663444444E-1,6.274464379E-2,8.890832960E-4
9.996666667E-1,2.236764028E-4,6.480701256E-5
